,xr,linear_reg,k2,k3,k5,k10,k30,k500,k100,k300
1775,2475,2159.937735773018,2484.0,1986.6666666666667,2099.8,2070.7,2255.9666666666667,2052.164,2216.37,2152.1966666666667
1776,2476,2161.0273735543724,2484.0,1986.6666666666667,2099.8,2070.7,2217.7,2052.164,2216.18,2154.61
1777,2477,2162.1170113357257,2484.0,2433.3333333333335,2401.2,2070.7,2217.7,2052.164,2218.82,2156.8566666666666
1778,2478,2163.206649117079,2465.0,2476.3333333333335,2401.2,2070.7,2217.7,2052.164,2218.82,2156.8566666666666
1779,2479,2164.296286898433,2415.5,2476.3333333333335,2078.2,2070.7,2225.5666666666666,2052.164,2220.61,2156.8566666666666
1780,2480,2165.3859246797865,2415.5,2476.3333333333335,2057.0,2071.5,2225.5666666666666,2052.164,2220.61,2156.8566666666666
1781,2481,2166.4755624611407,2415.5,1807.6666666666667,2057.0,2071.5,2227.9,2052.164,2220.61,2156.8566666666666
1782,2482,2167.565200242494,1428.0,1785.0,2057.0,2071.5,2227.9,2052.164,2220.61,2156.8566666666666
1783,2483,2168.6548380238482,1428.0,1785.0,2031.4,2071.5,2227.9,2052.164,2225.75,2156.8566666666666
1784,2484,2169.7444758052015,1428.0,1785.0,2031.4,2071.5,2227.9,2055.488,2225.75,2156.8566666666666
1785,2485,2170.834113586555,1428.0,1775.3333333333333,2031.4,2071.5,2224.366666666667,2055.488,2229.39,2156.8566666666666
1786,2486,2171.923751367909,1428.0,1775.3333333333333,2031.4,2060.5,2224.366666666667,2055.488,2229.39,2156.8566666666666
1787,2487,2173.0133891492624,2367.0,1775.3333333333333,2031.4,2060.5,2224.366666666667,2055.488,2229.39,2156.8566666666666
1788,2488,2174.1030269306166,2367.0,1775.3333333333333,2031.4,2085.6,2224.366666666667,2055.488,2229.39,2156.8566666666666
1789,2489,2175.19266471197,2367.0,1775.3333333333333,2031.4,2214.3,2224.366666666667,2055.488,2229.39,2156.8566666666666
1790,2490,2176.282302493324,2367.0,1775.3333333333333,2021.2,2214.3,2226.8333333333335,2055.488,2232.3,2159.1266666666666
1791,2491,2177.3719402746774,2367.0,1775.3333333333333,2021.2,2214.3,2227.733333333333,2055.488,2232.3,2159.1266666666666
1792,2492,2178.4615780560316,2367.0,1775.3333333333333,2013.0,2215.1,2236.1666666666665,2055.488,2232.3,2159.1266666666666
1793,2493,2179.551215837385,2375.5,2338.3333333333335,2013.0,2215.1,2236.1666666666665,2055.488,2237.4,2159.1266666666666
1794,2494,2180.640853618738,2375.5,2403.0,2013.0,2196.1,2231.1666666666665,2055.488,2237.4,2159.66
1795,2495,2181.7304914000924,2375.5,2403.0,2016.0,2212.3,2228.9,2055.488,2243.52,2159.66
1796,2496,2182.8201291814457,2375.5,2403.0,2373.2,2212.3,2228.9,2055.488,2251.32,2159.66
1797,2497,2183.9097669628,2369.5,2403.0,2373.2,2212.3,2228.9,2055.488,2251.32,2159.66
1798,2498,2184.9994047441533,2369.5,2339.3333333333335,2373.2,2203.1,2228.9,2055.488,2257.67,2154.673333333333
1799,2499,2186.0890425255075,2369.5,2339.3333333333335,2373.2,2203.1,2226.133333333333,2055.488,2257.67,2154.673333333333
1800,2500,2187.1786803068608,2369.5,2339.3333333333335,2373.2,2203.1,2226.133333333333,2055.488,2257.67,2154.673333333333
1801,2501,2188.268318088214,2369.5,2339.3333333333335,2360.8,2088.3,2226.133333333333,2055.488,2263.06,2154.673333333333
1802,2502,2189.3579558695683,2368.5,2339.3333333333335,2360.8,2088.3,2226.133333333333,2055.488,2263.04,2154.673333333333
1803,2503,2190.4475936509216,2368.5,2339.3333333333335,2360.8,2265.2,2244.7,2055.488,2263.04,2154.673333333333
1804,2504,2191.537231432276,2368.5,2371.6666666666665,2360.8,2265.2,2248.4,2055.488,2263.04,2154.673333333333
1805,2505,2192.626869213629,2328.5,2371.6666666666665,2360.8,2265.2,2248.4,2055.488,2251.19,2154.673333333333
1806,2506,2193.7165069949833,2328.5,2371.6666666666665,2403.4,2265.2,2248.4,2055.488,2252.57,2154.673333333333
1807,2507,2194.8061447763366,2328.5,2371.6666666666665,2403.4,2265.2,2248.4,2055.488,2252.57,2154.673333333333
1808,2508,2195.89578255769,2393.0,2426.6666666666665,2403.4,2266.5,2248.4,2055.488,2252.57,2154.673333333333
1809,2509,2196.985420339044,2393.0,2426.6666666666665,2403.4,2266.5,2248.4,2055.488,2252.57,2154.673333333333
1810,2510,2198.0750581203974,2451.0,2426.6666666666665,2393.2,2266.5,2248.4,2055.488,2255.97,2154.673333333333
